Registration,Make,Model,Color,Year,EngineSize
FPL304K,Suzuki,Swift,Grey,1972,1797
FPL723C,Renault,Clio,Green,1980,1100
FR10JYG,Citroen,C4,Red,2010,1899
FR14DLM,Ford,Fiesta,Gold,2014,1600
FR16MVP,Seat,Ibiza,Yellow,2016,1399
FR18XVV,Volkswagen,Golf,Red,2018,1397
FRE773D,Skoda,Yeti,Silver,1979,1196
FRL811C,Vauxhall,Corsa,White,1980,1296
FRM103I,Citroen,C1,Turquoise,1974,1695
FRR860L,Vauxhall,Corsa,Red,1971,1800
FT14TPR,Vauxhall,Mokka,Green,2014,1497
FT16HVU,Toyota,Aygo,Gold,2016,1395
FT17DYB,Peugeot,Rcz,Turquoise,2017,1595
FT18PED,Vauxhall,Astra,Blue,2018,1597
FTF494C,Vauxhall,Corsa,Orange,1980,1999
FTP755J,Mazda,Demio,Red,1973,1397
FU03EDD,Volkswagen,Polo,Blue,2003,1099
FU05KDM,Fiat,Panda,Gold,2005,1499
FU14DYU,Toyota,Rav4,Blue,2014,1499
FU17JKL,Honda,Civic,Orange,2017,1497
FU18PUC,Volvo,Xc70,Blue,2018,1196
FU20CVC,Kia,Sportage,Grey,2020,1998
FUB209I,Fiat,500,Purple,1974,1400
FUL882B,Vauxhall,Astra,Red,1981,1297
FUW310L,Kia,Sportage,Blue,1971,1598
FV01PTV,Skoda,Yeti,Gold,2001,1396
FV15GRN,Volvo,Xc60,Orange,2015,1395
FVB892B,Ford,Fiesta,Gold,1981,1396
FVP844G,Mg,Mgb,Green,1976,1400
FW06DER,Peugeot,307,Black,2006,1497
FW07JVY,Citroen,Ds3,Purple,2007,1599
FW18NKD,Nissan,Juke,Green,2018,1500
FWG970J,Seat,Leon,Turquoise,1973,1496
FWM216H,Hyundai,I20,Red,1975,1695
FX19XEB,Citroen,C3,Black,2019,1397
FX20DMM,Bmw,X5,Green,2020,1599
FXP882L,Ford,Mustang,Black,1971,1400
FXR417H,Vauxhall,Insignia,Grey,1975,1498
FXR702J,Mini,Cooper,Grey,1973,1595
FY07RAC,Renault,Captur,Blue,2007,1600
FY17LPY,Ford,Fiesta,Gold,2017,1399
FY20PRY,Vauxhall,Crossland,Green,2020,1596
FYE651J,Ford,Focus,Turquoise,1973,1596
G105XWF,Volkswagen,Golf,Turquoise,1995,1797
G106MGH,Toyota,Yaris,Red,1995,1896
G117JJJ,Mini,Cooper,Purple,1995,1095
G119BBW,Kia,Sportage,Orange,1995,1399
G126BRH,Ford,Focus,Turquoise,1995,1596
G144UUG,Ford,Focus,Silver,1995,1598
G155BLN,Volkswagen,Golf,Black,1995,1396
G156EPA,Ford,Focus,Green,1995,1799
G162BTG,Hyundai,I10,Orange,1995,1297
G163BXM,Nissan,Qashqai,Turquoise,1995,1697
G167NLM,Audi,A3,Silver,1995,1699
G187LYK,Audi,A5,Yellow,1995,1495
G192DFT,Vauxhall,Corsa,Turquoise,1995,1699
G203EHP,Volkswagen,Golf,Gold,1995,1496
G216BBC,Ford,Fiesta,Blue,1995,1900
G233NHC,Suzuki,Sx4,Gold,1995,1795
G245MCH,Toyota,Rav4,Green,1995,1300
G248CGA,Citroen,C3,Purple,1995,1399
G278KLG,Mini,First,Red,1995,1500
G279WFU,Mazda,6,Yellow,1995,1698
G281AJC,Honda,Jazz,Yellow,1995,1398
G287JEB,Ford,Fiesta,Grey,1995,1697
G288PTG,Citroen,C1,Purple,1995,1695
G292JAM,Volkswagen,Polo,Green,1995,1397
G306DJE,Ford,Fiesta,Gold,1995,1596
G324MXA,Kia,Picanto,Yellow,1995,1896
G347YGR,Toyota,Corolla,Yellow,1995,1598
G349HYA,Skoda,Karoq,Red,1995,1400
G351DEY,Ford,Galaxy,Green,1995,1799
G368YBM,Hyundai,Kona,Grey,1995,1599
G372NDM,Toyota,Prius,Yellow,1995,1696
G373XTU,Ford,Focus,Grey,1995,1397
G374CBK,Kia,Rio,Black,1995,1699
G378JBW,Ford,Mondeo,Silver,1995,1596
G378VHC,Audi,A6,Gold,1995,1598
G419NGX,Ford,Fiesta,Gold,1995,1698
G421HTF,Renault,Twingo,Turquoise,1995,1598
G450EMN,Ford,Fiesta,Green,1995,1597
G452FCP,Skoda,Fabia,Purple,1995,1595
G514MKM,Ford,Mondeo,White,1995,1298
G516NPH,Chevrolet,Matiz,Green,1995,1499
G520HUD,Ford,Fiesta,Silver,1995,1298
G520TEF,Audi,Tt,White,1995,1798
G522ELX,Vauxhall,Signum,Purple,1995,1595
G539EJK,Seat,Ibiza,Blue,1995,1400
G551CTD,Volvo,C70,Orange,1995,1899
G551RHL,Mazda,2,Blue,1995,1498
G552RCX,Skoda,Superb,Gold,1995,1395
G554MGX,Ford,Fiesta,Silver,1995,1498
G557GFA,Peugeot,208,Orange,1995,1600
G570DMJ,Volkswagen,California,Yellow,1995,1596
G570HHA,Ford,Focus,Turquoise,1995,1597
G592RVU,Bmw,I3,Yellow,1995,1796
G598LTD,Renault,Scenic,Purple,1995,1700
G605BLT,Ford,Fiesta,White,1995,1696
G615GRP,Triumph,Tr6,Red,1995,1595
G636GRM,Ford,Fiesta,Black,1995,1399
G647EYN,Vauxhall,Insignia,Gold,1995,1396
G657BTD,Mazda,6,Silver,1995,1699
G663TMY,Nissan,Note,Silver,1995,1695
G671EYE,Ford,Fiesta,Turquoise,1995,1796
G692WWY,Hyundai,I20,Purple,1995,1899
G695TLU,Ford,Ka,Silver,1995,1896
G713RMH,Volkswagen,Golf,Orange,1995,1500
G718UCH,Ford,Fiesta,Green,1995,1699
G729NKK,Dacia,Sandero,Green,1995,1600
G739JJV,Honda,Crv,Yellow,1995,1596
G785MTF,Volkswagen,Polo,Green,1995,1698
G789RDD,Renault,Clio,Gold,1995,1300
G791XEK,Citroen,Xsara,Yellow,1995,1597
G798ABE,Mazda,Cx3,Black,1995,1600
G798UEM,Audi,A3,Red,1995,1596
G807TFR,Volkswagen,Sharan,Black,1995,1395
G815NLM,Audi,A5,Silver,1995,1596
G836YFP,Nissan,Micra,Turquoise,1995,1600
G852KJN,Audi,A4,Green,1995,1697
G857CEY,Renault,Twingo,Yellow,1995,1597
G862WDB,Volkswagen,Golf,Turquoise,1995,1696
G880FLK,Toyota,Yaris,Silver,1995,1599
G902KKP,Hyundai,Ioniq,Grey,1995,1398
G909UFC,Nissan,Juke,White,1995,1896
G911EFL,Audi,A4,Yellow,1995,1496
G915VUM,Suzuki,Alto,Yellow,1995,1896
G924AKK,Vauxhall,Insignia,Silver,1995,996
G940KXC,Peugeot,308,Gold,1995,1398
G944PPG,Vauxhall,Corsa,Purple,1995,1395
G948BCR,Audi,A6,Blue,1995,1699
G954KAH,Ford,Ka,White,1995,1598
G955RUH,Peugeot,208,Red,1995,1696
G964LHX,Peugeot,2008,Black,1995,1495
G971BNL,Seat,Ibiza,Blue,1995,1599
G975GEE,Vauxhall,Astra,Blue,1995,1299
G976XKV,Citroen,C4,Green,1995,1699
G978VAE,Vauxhall,Corsa,Silver,1995,1499
G982HCM,Audi,A6,Gold,1995,1700
G985HGT,Toyota,Avensis,Gold,1995,1096
G995YDU,Audi,Q2,Red,1995,1796
GA05TJT,Kia,Ceed,Gold,2005,1495
GA12TUE,Volkswagen,Passat,Blue,2012,1598
GA13KXE,Nissan,Qashqai,Silver,2013,1195
GB17YMR,Citroen,C1,Orange,2017,1497
GC14RCW,Honda,Jazz,Yellow,2014,1597
GC16DLG,Volkswagen,Tiguan,Silver,2016,1397
GCE796F,Hyundai,I30,Red,1977,1599
GCF900J,Toyota,Auris,Orange,1973,1097
GCH643H,Skoda,Fabia,Red,1975,1496
GCP635L,Volvo,V40,Blue,1971,1296
GD01KAL,Volkswagen,Corrado,Yellow,2001,1797
GD07CJW,Audi,A5,Gold,2007,995
GD08YNA,Volvo,V70,Blue,2008,1198
GD11KLY,Volkswagen,Golf,Green,2011,1399
GD14ALM,Audi,Q3,Gold,2014,1200
GDK673K,Ford,Puma,Red,1972,1200
GE02DCL,Audi,Rs4,Green,2002,1197
GE07CMM,Mazda,2,Orange,2007,1498
GE08DTK,Skoda,Octavia,Green,2008,1196
GE09UBF,Audi,A4,White,2009,1500
GE11MUC,Toyota,Iq,Gold,2011,1298
GE13TDK,Vauxhall,Grandland,Yellow,2013,1598
GE17EAT,Mazda,6,White,2017,1796
GF02DKJ,Mini,Cooper,Yellow,2002,1297
GF10YAN,Austin,Mini,Yellow,2010,1396
GF14UJU,Vauxhall,Corsa,Green,2014,1700
GFG504G,Audi,A3,Orange,1976,1400
GFH456G,Chevrolet,Lacetti,Silver,1976,1698
GG03BXL,Hyundai,I10,Orange,2003,1700
GG08HND,Peugeot,2008,Purple,2008,1600
GG10YNT,Volkswagen,Touareg,Black,2010,1896
GG20MFF,Hyundai,Kona,Green,2020,1497
GGB711C,Mini,Cooper,Grey,1980,1599
GGF626H,Peugeot,206,Silver,1975,1296
GGM429J,Ford,Mondeo,Green,1973,1400
GGN412L,Suzuki,Celerio,Silver,1971,1595
GH02FAM,Vauxhall,Corsa,Purple,2002,1598
GH10BDC,Volkswagen,Golf,Yellow,2010,1696
GH12DMK,Fiat,500,Turquoise,2012,1498
GHB861J,Toyota,Avensis,Green,1973,1600
GHV274K,Renault,Captur,Silver,1972,1596
GJ03EWE,Ford,Galaxy,Silver,2003,2196
GJ06TVL,Peugeot,107,Yellow,2006,1200
GJ08GWW,Kia,Sportage,Gold,2008,1495
GJ13FYA,Vauxhall,Zafira,Red,2013,1095
GJ14EAR,Seat,Arona,Grey,2014,1500
GJ15TFR,Fiat,500,Red,2015,1999
GJ16UYJ,Fiat,Panda,Green,2016,2000
GJ20UUA,Mini,Cooper,Silver,2020,1697
GJF161E,Mini,Cooper,Yellow,1978,1796
GJH544B,Skoda,Rapid,Purple,1981,1200
GJR182F,Subaru,Impreza,Black,1977,1695
GK03VTH,Volvo,V90,Green,2003,1499
GK04LFN,Vauxhall,Astra,Purple,2004,1397
GK11CPD,Suzuki,Vitara,Grey,2011,1296
GK13LEC,Nissan,Qashqai,Purple,2013,1699
GKB615G,Suzuki,Alto,Orange,1976,1300
GL17BNA,Nissan,300,Grey,2017,1498
GLA629E,Skoda,Fabia,Gold,1978,1395
GLF950B,Vauxhall,Vectra,Blue,1981,1498
GM01EHP,Seat,Ibiza,White,2001,1497
GM06FRR,Mini,Cooper,Black,2006,1496
GM12VKL,Vauxhall,Insignia,Gold,2012,1897
GM19CAE,Peugeot,206,Red,2019,1797
GMN342H,Volkswagen,Golf,Orange,1975,1696
GN04JVX,Nissan,Qashqai,Turquoise,2004,1696
GN06CRR,Volkswagen,Up,Red,2006,1297
GN13CYL,Audi,A4,Green,2013,1397
GNB173D,Nissan,Qashqai,Red,1979,1798
GNJ476B,Peugeot,308,Gold,1981,1500
GNN710B,Citroen,C4,Grey,1981,1699
GNT742E,Nissan,Micra,Black,1978,1895
GNY802I,Nissan,Note,Grey,1974,1497
GP03ERG,Vauxhall,Corsa,Orange,2003,1598
GP04KUM,Honda,Civic,Grey,2004,1597
GP06KYK,Peugeot,3008,Purple,2006,1599
GP20AXU,Nissan,Qashqai,Gold,2020,1396
GPY907G,Mini,One,Red,1976,1599
GR04UMV,Toyota,Yaris,Turquoise,2004,1899
GR07TFK,Mazda,2,Gold,2007,1500
GR12WGV,Ford,Fiesta,Grey,2012,1397
GR15WJX,Ford,Focus,Silver,2015,1500
GRJ634F,Ford,Fiesta,Black,1977,1395
GRL916C,Hyundai,Tucson,Purple,1980,1395
GRP716G,Volkswagen,Scirocco,Black,1976,1498
GRU645L,Mazda,2,White,1971,1500
GRY562F,Hyundai,I20,Orange,1977,1497
GT07BPN,Honda,Jazz,Green,2007,1395
GT07TRX,Renault,Scenic,Grey,2007,1497
GT08CFY,Toyota,Yaris,Gold,2008,1896
GT10BUR,Nissan,Qashqai,Grey,2010,1600
GT11ARE,Citroen,C4,Green,2011,1497
GTB787J,Fiat,Punto,Purple,1973,1598
GTF202E,Vauxhall,Astra,Green,1978,1497
GU04TDF,Audi,A1,Black,2004,1600
GU09VDJ,Volkswagen,Golf,Red,2009,1796
GU11VAD,Vauxhall,Astra,Grey,2011,1396
GU18CDN,Peugeot,307,Red,2018,1197
GUA387D,Chrysler,300,Gold,1979,1598
GV02EDD,Renault,Clio,White,2002,1400
GV03DPE,Volkswagen,Passat,Yellow,2003,1700
GV03TCV,Nissan,Qashqai,Yellow,2003,1596
GV06AAF,Ford,Puma,Grey,2006,1900
GV09FAW,Vauxhall,Corsa,Gold,2009,1400
GV14KYV,Vauxhall,Corsa,Orange,2014,1696
GV16CXW,Volkswagen,Golf,Blue,2016,1299
GVJ114B,Peugeot,308,Orange,1981,1700
GW03LTT,Volkswagen,Scirocco,White,2003,1396
GW13PAK,Kia,Sorento,Black,2013,1400
GW13YDM,Hyundai,I10,Blue,2013,1800
GWR812D,Mini,Cooper,Grey,1979,1796
GX12LNH,Nissan,Juke,Silver,2012,1500
GX14VYU,Renault,Scenic,Black,2014,1400
GX19BAT,Kia,Ceed,Silver,2019,1497
GXE376L,Audi,A3,Gold,1971,1400
GXG486K,Toyota,Aygo,Yellow,1972,1198
GXL125I,Volkswagen,Golf,Orange,1974,1497
GY05GYU,Skoda,Octavia,Orange,2005,1396
GYV753F,Mini,One,Red,1977,1497
H104VYE,Renault,Captur,Red,1994,1695
H106MPH,Volkswagen,Golf,Black,1994,1400
H106TBX,Porsche,911,Purple,1994,1300
H109NFJ,Mini,Clubman,White,1994,1298
H116XER,Volvo,V40,Grey,1994,1495
H120CHL,Ford,Focus,White,1994,1496
H120MJX,Honda,Jazz,Blue,1994,1698
H125UVV,Chevrolet,Lacetti,Gold,1994,1200
H127CHU,Mazda,2,Green,1994,1599
H176XCD,Mazda,2,Yellow,1994,1199
H216FAA,Renault,Scenic,Silver,1994,1296
H217KYV,Hyundai,I20,Orange,1994,1497
H218YUV,Honda,Jazz,Blue,1994,1195
H232YGT,Peugeot,308,White,1994,1300
H255BUW,Toyota,Aygo,Red,1994,1500
H258JLG,Fiat,500,Black,1994,1697
H273KRF,Kia,Rio,Black,1994,1498
H274KAL,Renault,Captur,Black,1994,1597
H278CKM,Ford,Focus,Silver,1994,1497
H285XMK,Nissan,Micra,Red,1994,1395
H292UUX,Peugeot,207,Turquoise,1994,1997
H307CDG,Renault,Megane,Blue,1994,1598
H320RFU,Volkswagen,Golf,Grey,1994,1200
H324ERK,Renault,Scenic,Turquoise,1994,1898
H357KYR,Vauxhall,Corsa,Green,1994,1697
H391RAX,Audi,A5,Gold,1994,1600
H432YME,Hyundai,I30,Orange,1994,1198
H434CTN,Mini,Cooper,Gold,1994,1400
H440UVU,Mini,Cooper,Silver,1994,1497
H457HTX,Nissan,Juke,Red,1994,1197
H470NCF,Vauxhall,Astra,White,1994,1496
H476KKJ,Renault,Captur,Blue,1994,1898
H482RNY,Mini,Countryman,Silver,1994,1498
H515UHD,Vauxhall,Astra,Green,1994,1297
H556BDP,Nissan,Juke,Gold,1994,1297
H567LKU,Porsche,Cayenne,Yellow,1994,1395
H608YKY,Bmw,M4,Green,1994,1798
H630WYD,Vauxhall,Corsa,Purple,1994,1598
H633WMV,Vauxhall,Viva,Purple,1994,1295
H634PBR,Toyota,Yaris,Gold,1994,1198
H641EFF,Nissan,Micra,Red,1994,1699
H654LFJ,Ford,Mondeo,White,1994,1200
H654XLV,Ford,Fiesta,Purple,1994,1298
H660TUG,Vauxhall,Grandland,Blue,1994,1495
H686XYN,Volkswagen,Golf,Blue,1994,1997
H703FDW,Ford,Focus,Gold,1994,1500
H714UWN,Ford,Fiesta,Blue,1994,1500
H728TCM,Hyundai,I30,White,1994,1499
H736CUF,Nissan,Almera,Red,1994,1400
H744AXW,Seat,Ibiza,Orange,1994,2000
H748NDC,Volvo,V40,Red,1994,1695
H763FEG,Kia,Sportage,Turquoise,1994,1698
H763MHD,Vauxhall,Astra,Black,1994,1795
H787DMA,Chevrolet,Epica,Black,1994,1499
H799XXV,Nissan,Qashqai,Grey,1994,1499
H815LRA,Nissan,Qashqai,Purple,1994,1697
H817DJV,Ford,Fusion,Blue,1994,1300
H819XCG,Kia,Soul,Red,1994,1798
H842JRM,Audi,Q5,Black,1994,1400
H849MVF,Volkswagen,Tiguan,Red,1994,1799
H854UYH,Hyundai,I30,Turquoise,1994,1700
H855BBJ,Audi,A1,Silver,1994,1696
H855DHX,Volkswagen,Golf,Grey,1994,1898
H857BRX,Audi,A1,Turquoise,1994,1496
H873DJY,Citroen,Xsara,Purple,1994,1597
H902HGE,Suzuki,Vitara,Black,1994,1499
H922UAL,Nissan,Micra,Black,1994,1600
H937AUR,Audi,Q2,Grey,1994,1500
H956RUJ,Mazda,6,White,1994,1600
H957NGW,Ford,Focus,Grey,1994,1796
H986HHC,Vauxhall,Antara,Silver,1994,1700
H996FDB,Honda,Jazz,Gold,1994,1599
HA06UER,Ford,Focus,White,2006,1598
HA07GEF,Audi,A6,Turquoise,2007,1600
HA10WTU,Hyundai,I30,Green,2010,1298
HA19FHR,Suzuki,Alto,Red,2019,1798
HA20FPU,Ford,Fiesta,Blue,2020,1798
HAD846E,Lexus,Is220,Yellow,1978,1695
HB07FBH,Audi,A1,Grey,2007,1498
HB14JUW,Bmw,Z4,Grey,2014,1700
HBH772G,Toyota,Aygo,Black,1976,1495
HC11DPG,Porsche,Macan,Turquoise,2011,2096
HC13DWD,Hyundai,Tucson,Purple,2013,1497
HC15UCX,Skoda,Fabia,Red,2015,1899
HC18XUD,Volvo,C70,Black,2018,1600
HC19ADR,Suzuki,Swift,Orange,2019,1995
HD04BLY,Skoda,Fabia,Yellow,2004,1598
HD19NKH,Peugeot,207,White,2019,1496
HD20EWE,Ford,Focus,Black,2020,1597
HDB652F,Ford,Mondeo,White,1977,1997
HDJ158B,Renault,Captur,Red,1981,1495
HDL540I,Skoda,Octavia,Gold,1974,1597
HDP785L,Volkswagen,Fox,Gold,1971,1696
HE01FGD,Volkswagen,Golf,Green,2001,1396
HE05KDB,Volkswagen,Polo,Silver,2005,1699
HE10RVX,Skoda,Fabia,Yellow,2010,1298
HE12HWD,Audi,A1,Black,2012,1697
HE15XHU,Audi,A4,Grey,2015,1396
HE18FNN,Nissan,Note,Purple,2018,1399
HE20GCG,Ford,Mondeo,Orange,2020,1595
HEJ755B,Volkswagen,Golf,Green,1981,1296
HEN734F,Kia,Rio,Turquoise,1977,1596
HF13PPP,Audi,A1,Red,2013,1698
HFY335C,Ford,Mondeo,White,1980,1400
HG17GWA,Ford,Fiesta,Silver,2017,1496
HGM573F,Volkswagen,Passat,Purple,1977,1695
HGX767B,Audi,A3,Gold,1981,1596
HH01NRT,Ford,Fiesta,Blue,2001,1698
HH05WUD,Volvo,V40,Gold,2005,1599
HH15AKE,Peugeot,2008,Yellow,2015,1497
HH17VEP,Ford,Mondeo,Blue,2017,1499
HHM399E,Volkswagen,Golf,Green,1978,1798
HHP809E,Mini,Clubman,Grey,1978,1095
HHW328K,Fiat,500,White,1972,1396
HJ01TUM,Peugeot,107,Red,2001,1795
HJ07AAV,Jeep,Patriot,Green,2007,1499
HJ07PMW,Ford,Mondeo,Silver,2007,1696
HJ09PLF,Vauxhall,Zafira,Yellow,2009,1598
HJ10WDW,Honda,Jazz,Yellow,2010,1397
HJB237L,Volkswagen,Golf,Orange,1971,1499
HK11JHG,Ford,Fiesta,Yellow,2011,1796
HK15VUL,Volkswagen,Polo,Orange,2015,1598
HK17HMT,Skoda,Octavia,Blue,2017,1495
HK20KUR,Peugeot,107,White,2020,1695
HKP277K,Volkswagen,Jetta,Silver,1972,2095
HKX941L,Nissan,Qashqai,Silver,1971,1295
HL06WWW,Toyota,Aygo,Orange,2006,1195
HL11EMH,Honda,Jazz,Orange,2011,1596
HL11RWT,Ford,Fiesta,Grey,2011,1596
HLD773B,Ford,Fusion,Black,1981,1596
HLU791E,Skoda,Octavia,Black,1978,1696
HM02RKL,Volkswagen,Golf,Orange,2002,1600
HM12PLT,Ford,Focus,Green,2012,1597
HM13DPJ,Fiat,500,Yellow,2013,1195
HM19PYV,Ford,Kuga,Red,2019,1497
HM20EWM,Kia,Picanto,Grey,2020,1900
HMB723J,Bmw,M3,Orange,1973,1397
HMD845L,Honda,Crv,Yellow,1971,1495
HMK210C,Ford,Focus,Turquoise,1980,1800
HN15XEM,Nissan,Micra,Orange,2015,1597
HN16PEF,Volkswagen,Up,White,2016,1698
HNG747L,Vauxhall,Meriva,Gold,1971,1497
HNH690D,Audi,Q2,Orange,1979,1696
HP06APX,Volkswagen,Touareg,Silver,2006,1498
HPC888K,Audi,A5,Silver,1972,1500
HR01WXK,Toyota,Estima,Yellow,2001,1298
HR03DPH,Ford,Focus,Green,2003,1600
HR05NDP,Honda,Civic,Silver,2005,1400
HR05RYV,Mini,Cooper,Green,2005,1696
HR09GMF,Fiat,500,Red,2009,1300
HR16ACE,Fiat,500,Black,2016,1497
HR17BKB,Ford,Galaxy,Grey,2017,1596
HR18BWH,Volkswagen,Golf,Orange,2018,1496
HRD758G,Kia,Venga,Silver,1976,1696
HRT386E,Honda,Jazz,Turquoise,1978,1196
HRU239G,Seat,Ateca,Turquoise,1976,1095
HRY826E,Hyundai,Tucson,White,1978,1395
HT04TVJ,Citroen,Berlingo,Blue,2004,1596
HT05BDK,Volkswagen,Polo,White,2005,1497
HT16PMJ,Suzuki,Swift,Gold,2016,2095
HTM214B,Ford,Fiesta,Green,1981,1798
HU06BWF,Mazda,2,Green,2006,1497
HU11BGX,Toyota,Yaris,Blue,2011,1800
HU17AUJ,Nissan,Juke,Red,2017,1398
HU20AWL,Ford,Fiesta,Silver,2020,1600
HUX783J,Vauxhall,Astra,Grey,1973,1295
HVL824C,Honda,Jazz,Turquoise,1980,1498
HVL844L,Toyota,Aygo,Gold,1971,1398
HVT266H,Volvo,Xc90,Blue,1975,1297
HW10YAC,Toyota,Auris,Purple,2010,1299
HW13YLY,Vauxhall,Corsa,Orange,2013,1298
HW16URL,Volkswagen,Golf,Gold,2016,1597
HWH739G,Ford,Fiesta,Orange,1976,1499
HWL396H,Citroen,C3,Gold,1975,1298
HWN431H,Ford,Focus,Black,1975,1796
HWY605L,Nissan,Qashqai,Red,1971,1499
HX02XFK,Nissan,Micra,Turquoise,2002,1598
HX20BKP,Volkswagen,Golf,Red,2020,1496
HXF575I,Volkswagen,Polo,Red,1974,1397
HXJ302F,Ford,Focus,Grey,1977,1598
HY10MDV,Audi,A1,Blue,2010,1398
HYN473H,Renault,Clio,Grey,1975,1596
I121KYJ,Nissan,Qashqai,Orange,1993,1397
I124PJX,Seat,Ibiza,Green,1993,1100
I155CBH,Volkswagen,Passat,Grey,1993,1697
I165BEP,Toyota,Yaris,Red,1993,1796
I175AHY,Volkswagen,Golf,Turquoise,1993,1097
I189PXH,Peugeot,308,Red,1993,1595
I202RKV,Vauxhall,Adam,Gold,1993,1499
I231VVY,Seat,Leon,Yellow,1993,1495
I243HCX,Volkswagen,Touran,Purple,1993,996
I265MTE,Dacia,Sandero,Orange,1993,1397
I273UKM,Kia,Picanto,Red,1993,1696
I291AMT,Kia,Sportage,Turquoise,1993,1697
I300RGX,Peugeot,307,Silver,1993,895
I301PGJ,Honda,Civic,Turquoise,1993,1698
I304MUF,Fiat,Punto,Yellow,1993,1498
I313EVA,Volkswagen,Polo,White,1993,1395
I319EDV,Toyota,Avensis,Silver,1993,1399
I321LHG,Audi,A6,Black,1993,1595
I325YLP,Vauxhall,Corsa,Yellow,1993,1598
I333MRY,Honda,Jazz,Red,1993,1396
I339KFN,Renault,Clio,White,1993,1497
I340NHM,Ford,Mondeo,Gold,1993,1598
I360WPP,Ford,Kuga,Gold,1993,1597
I367CXL,Nissan,Qashqai,Grey,1993,1297
I383XYH,Fiat,500L,Turquoise,1993,1597
I395KAN,Nissan,Micra,Black,1993,1398
I410FDH,Volvo,V40,Blue,1993,1499
I421KAK,Volkswagen,Polo,Gold,1993,1499
I422GWE,Seat,Alhambra,Silver,1993,1398
I435DCP,Toyota,Auris,Silver,1993,1695
I459FNU,Skoda,Kodiaq,Red,1993,1696
I464EDG,Nissan,Note,Black,1993,1397
I514HUY,Toyota,Yaris,Blue,1993,1595
I560DHM,Volkswagen,Polo,Grey,1993,1595
I562RVU,Kia,Sportage,Green,1993,1700
I567YJR,Fiat,500,Blue,1993,1398
I581XDL,Volkswagen,Golf,Green,1993,1097
I593BDK,Vauxhall,Insignia,White,1993,1396
I595GWF,Kia,Venga,Black,1993,1597
I604WAU,Volkswagen,Golf,Black,1993,1595
I613HMT,Ford,Fiesta,Silver,1993,1296
I641GKR,Suzuki,Sx4,Red,1993,1795
I661EUC,Audi,A5,Blue,1993,1299
I671BTC,Toyota,Corolla,Blue,1993,1500
I671KWK,Hyundai,Tucson,Green,1993,1996
I675TNX,Honda,Crv,Green,1993,1496
I679BXV,Hyundai,Tucson,Grey,1993,1398
I684BTH,Renault,Clio,Blue,1993,1297
I689VFY,Renault,Captur,Black,1993,1699
I704UVP,Fiat,500,Black,1993,1696
I705NPG,Lexus,Is250,Red,1993,1597
I706XGV,Vauxhall,Corsa,Green,1993,1699
I716EKE,Vauxhall,Zafira,Yellow,1993,1596
I718FEM,Vauxhall,Astra,Gold,1993,1800
I731EKJ,Peugeot,207,Gold,1993,1199
I732KPA,Renault,Clio,Grey,1993,1796
I758FEG,Ford,Focus,Silver,1993,1599
I772AFV,Bmw,X5,Black,1993,1500
I774UKX,Nissan,Juke,Purple,1993,1300
I798AVJ,Renault,Clio,Orange,1993,1896
I807NFY,Audi,Q5,Gold,1993,1699
I811WEY,Bmw,X3,Turquoise,1993,1898
I812CTV,Volkswagen,Passat,Yellow,1993,1996
I813UWA,Hyundai,I20,Gold,1993,1497
I841VJP,Citroen,C3,Grey,1993,1395
I843HFV,Vauxhall,Insignia,Blue,1993,1397
I860TYV,Toyota,Yaris,Yellow,1993,1795
I868ATA,Fiat,500,White,1993,1498
I894GGE,Seat,Altea,Black,1993,1398
I898YCJ,Vauxhall,Grandland,Black,1993,1398
I900TCK,Ford,Focus,Blue,1993,1296
I902PRM,Hyundai,I30,Red,1993,1397
I905PBV,Ford,Focus,Yellow,1993,1399
I914KWK,Hyundai,I10,Orange,1993,1595
I916CGG,Bmw,X4,Turquoise,1993,1598
I928XVY,Ford,Fiesta,Green,1993,1795
I934LWJ,Nissan,Note,Red,1993,1395
I935VJF,Vauxhall,Zafira,Green,1993,1897
I936RPM,Vauxhall,Mokka,Orange,1993,1495
I988XVG,Vauxhall,Zafira,Red,1993,1495
I994TVB,Vauxhall,Antara,Orange,1993,1998
I999PCW,Vauxhall,Corsa,Red,1993,1700
J114NPH,Ford,Galaxy,Orange,1992,1795
J124AVD,Vauxhall,Vectra,Gold,1992,1796
J133HKE,Ford,Ka,Turquoise,1992,1497
J137TAP,Volkswagen,Passat,White,1992,1596
J137UYT,Vauxhall,Corsa,Red,1992,1799
J145TUM,Vauxhall,Corsa,Grey,1992,1398
J146RPH,Volvo,Xc40,Yellow,1992,1499
J153JCA,Ford,Focus,Yellow,1992,1400
J162FFL,Ford,Mondeo,Red,1992,1896
J168BVV,Hyundai,I10,Purple,1992,1899
J176DEH,Hyundai,I10,Grey,1992,1500
J200JFM,Peugeot,208,Black,1992,1300
J204WVL,Nissan,Almera,Gold,1992,1600
J219NJA,Peugeot,308,Red,1992,1596
J221GXG,Skoda,Roomster,Gold,1992,1498
J243JEP,Volkswagen,Golf,Green,1992,1599
J259HAW,Bmw,Z3,Silver,1992,1798
J266FYL,Skoda,Octavia,Purple,1992,1200
J271HVW,Volkswagen,Polo,Turquoise,1992,1199
J273XLD,Audi,Q5,Blue,1992,1700
J295PHT,Toyota,Aygo,Turquoise,1992,1697
J306JCF,Vauxhall,Corsa,Blue,1992,1398
J321CAD,Audi,Rs6,Orange,1992,1599
